Id,Source,Topic,PashtoText,EnglishtTranslation,AnnotatorOne,AnnotatorTwo
1,https://www.facebook.com/167959249906191/posts/3868664713168941,"افغان ولسمشر محمد اشرف غني ویلي، په اوسنیو شرایطو کې د یو باثباته او هوسا افغانستان لپاره نړیوال او سیمه ییز تضمینونه اړین دي. نوموړي دا څرګندوني سې شنبه د هند لومړي وزیر نرېندرا مودي سره د ویډيو کنفرانس له لارې د خبرو پر مهال وکړې.",د لیوني څخه پوښتنه د یو لیونی څخه یو چا پوښتنه وکړه چی غم ښه دی که ښادي؟ لیونی ورته وویل: مهیم یی دیګونه دي.!!!,"Question from a madman Someone asked that grief is good or happy? "" The most important thing is the pots of food,"" said the madman.",Negative,Negative
2,,Afghan President Mohammad Ashraf Ghani said that in the current conditions international and regional guarantees are necessary for a stable and stable Afghanistan. He made the statement on Saturday during a video conference call with Indian Prime Minister Narendra Modi.,جهالت د نابالغه ماشومانو  په باچا پورې خندل نه دي نو څه دي؟  غني مو وياړ دى غني مو رهبر دى غني مو د وطن غمخوار دى,"Ignorance of immature children ,If you don't laugh at the king, then what? Ghani is our pride, Ghani is our leader, Ghani is the mourner of our country",Positive,Positive
3,,,ماته خو بی خوبه  خکاری نور نه پو هیږم,I like it but I don't know anymore,Positive,Positive
4,,,عنى ځان لپاره عمحوار دى نه د وطن حلکو لپاره دا سه حالت روان  دى  اوس   زياتره وګړى  دحپل بدن عړى پلورى,"Ghani is a leader for himself and not for the people of the country
  what is going on?
  Now most of the citizens are selling their bodies",Negative,Negative
5,,,خپله سه بلا وهلي یی ړوزي خو نه دي چي کوي یی,what happened with you. This is not joking that you do,Negative,Negative
6,,,دیر عالی ژوندی دوی داکتر صاحب اشرف غنی,Long live Dr. Ashraf Ghani,Positive,Positive
7,,,ښه تضمین د ده مرګ دی وادې وریدو,The best guarantee is death,Negative,Negative
8,,,ژوند ژوند محبوب ولسمشر عنى بابا ټول لراوبر ولسونه د خپل نظام ترڅنګ ولاړ دى,Life Life Beloved President Ghani Baba All nations stand by their system,Positive,Positive
9,,,دا تضمین به دی دطالبانو دخوشی کیدونه مخکی اخستی وو هسی بادوی یی,This guarantee was taken before the release of the Taliban,Negative,Negative
10,,,فخفله بلا وهلی یی,what happened with you. Did you can't?,Negative,Negative
11,,,څنګه.تړونونه نور کوی په تړونونو خو مو.د افغانانو.ویني د اوبو په څیر اوبهولي,How do agreements make more agreements but we have watered the blood of Afghans like water,Negative,Negative
12,,,حقیقت !,reality ,Positive,Positive
13,,,تول افغانستان روخانہ شی,Let the whole of Afghanistan shine,Positive,Positive
14,,,ددغنی وه خرتوبی او جاهیلی او غلامی ته حیران یم,I am amazed at Ghani's ignorance and slavery,Negative,Negative
15,,,کنر بند کار کلہ شروع کیگی جمھور صیب,"when will start work on Kunar's Dam , President sir",Positive,Positive
16,,,دابه هسی ګف وي 😊😊😊😊😊😊,It's ridiculous.,Negative,Negative
17,,,رنګ یی ډیر مردار نیولی دی,you face is very bad,Negative,Negative
18,,,همدا تضمین خو یی ډاکټر نجیب ته هم ورکړی وو,The same guarantee was given to Dr. Najib,Positive,Positive
19,,,ای لب يو باباجانه   په ټول جهان دې نه ورکوو  الله ج دې راته ژوندی لره باباجانه,"I love Baba jana, we like you more than whole world , live long",Positive,Positive
20,,,"مننه ولسمشره, د آبادۍ په کارونو دی  په اخر کې د افغانانو زړونه وګټل..","Thank you President, it is about the development work that has finally won the hearts of Afghans.",Positive,Positive
21,,,هو حقیقت دي مشر,It's reality ,Positive,Positive
22,,,ژوندی دی غوارو مشره,Long live sir,Positive,Positive
23,,,یقینا,Of course,Positive,Positive
24,,,د یو غني افغانستان په هیله,Hope for a prosperous Afghanistan,Positive,Positive
25,,,ژوندی اوسی باباجانه,long live Baba Jana,Positive,Positive
26,,,لعنت بتو,Curse on,Negative,Negative
27,,,لعنت,curse,Negative,Negative
28,,,لوی خریی,big foolish ,Negative,Negative
29,,,غنی بابا دژوندی وی,Long live Ghani Baba,Positive,Positive
30,https://www.facebook.com/bbcnewspashto/photos/a.269058216462960/3868576973177715,"په امریکا کې چارواکي وايي, يوه کمپيوټري هکر د دغه هېواد د فلوريډا ايالت يوه ښارګوټي د اوبو سيستم ته لارې موندلې وه او په اوبو کې يې د کيمیاوي موادو تر ""خطرناکې اندازې"" د ډېرولو هڅه کړې وه. په اولډسمر ښار کې دغه هکر د لنډې مودې لپاره د اوبو د پاکولو سيستم کې د سوډيم هايدرو اکسايډ (لای) کچه ډېره کړې وه خو يو کارکوونکی پرې خبر شو او دغه کړنه يې بنده کړه. په اوبو کې د تېزابو د کنټرول لپاره سوډيم هايدرو اکسايډ لږ اندازه له اوبو سره ګډېږي خو په اوبو کې يې ډېره اندازه لويې ستونزې جوړولی شوی. تراوسه په دې تړاو څوک نه دي نيول شوي او دا هم نه روښانه چې دغه کس په امریکا کې دی او که له دې هېواده بېرون يې د اوبو دې سيستم ته لار موندلې وه.",زمونږ پښتانه هیکران  څه کوې  دخویندو ایډي وې هیک کوې دهغوي شخصیات لاس ته راوړې بیااخطارونه ورکوې بیادهغې خور عزت په میډیاکې لیلام کړې,What are our Pashtun hackers doing? Hicking our sister's accounts and Their personalities have been captured and warnings have been issued. Her sister's respect has been auctioned off in the media.,Negative,Negative
31,,"Authorities in the United States say a computer hacker hacked into a water system in a Florida town and tried to add ""dangerous amounts"" of chemicals to the water. In Oldsmer, the hacker briefly raised the level of sodium hydroxide (lye) in the water purification system, but an employee became aware of it and stopped the practice. A small amount of sodium hydroxide is added to the water to control the acidity in the water, but it can cause major problems in the water. No arrests have been made so far and it is not clear if the man is in the United States or if he had access to the water system outside the country.",واخخخخ څومره خوند به یی کړی وایی,Tell me how much fun it will be,Negative,Negative
32,,,پرپادر مو لانت شه له په دې دمکو,Cursed be your father,Negative,Negative
33,,,زمونږ هيکران هم تر هيچا کم نه دي ,Our hackers are no less than anyone. ,Positive,Positive
34,,,څومره خه کار به شوی وه,It would be very interesting.,Negative,Negative
35,,,ماویل که ټرمپ مړ ده یار نو😄,"I think, that the Trump has died ",Negative,Negative
36,https://www.facebook.com/167959249906191/posts/3868424766526269/,د امریکايي پوځ د مرکزي قومندانۍ عمومي قوماندان جنرال کېنېټ مکېنزې وايي په افغانستان کې د تاوتریخوالي اوسنۍ کچه ډېره لوړه ده او دی د طالبانو د وروستیو کړنو په اړه اندېښمن دی.,بس انتظار یو ستاسو خواږې لوبې ته,Just wait for one of your sweet games,Positive,Positive
37,,"General Kenneth McKenzie, the commander of the US Army Central Command, says the current level of violence in Afghanistan is very high and he is worried about the recent actions of Taliban.",همدا   اور  چی نور تاز شی ډیر خوند به وکی انتظار یو,We will wait for the most fresh fire,Negative,Negative
38,,,ده سى واىاچى ده نه جوړىګى,"Means that, it will not build .",Negative,Negative
39,https://www.facebook.com/bbcnewspashto/photos/a.269058216462960/3868222483213164,لوګر کې نړیوال هوایي ډګر لپاره څېړنې!,په لوګر کښی باید دغه هوایی ډګر جوړ نسی ځکه چې بیا په پاکستان کې هوا خرابیږی!  چې ورسره به د دالو په حاصلاتو کې ډیر کمبود راسی! په نږدی راتلونکې کې به شاهد د پنجابی ملایانو لخوا یوه فتوا هم صادره سی!!!,"This airport should not be built in Logar because then the weather in Pakistan will get worse! That will greatly reduce the yield of pulses! In the near future, a fatwa will be issued by the Punjabi Mullahs !!!",Negative,Negative
40,,Research for Logar International Airport!,دا فضول مصرف دى ددى پر زايي دى د بريښنا بندونه جوړ کړى او تخصصى شفاخانى دى جوړى کړى  مونږ د هوايي ډګر نه د بريښنا بنداو مجهزو شفاخانو  ته ډيره ارتيا لرو,"It is a waste of money to build power dams and
  He has built a specialized hospital
  We are in dire need of power outages from the airport to well-equipped hospitals",Negative,Negative
41,,,غول خوری ستاسو مور پدا میدان هوایی وغی چی  په ۱۵ کاله کی یو میدان هوایی جور وی خدای مو تبا که په داسی حکومت داری په داتعلیم کولو په ۱۵ کالوکی خلک بسته ملک جوروی تاسو میدان هوایی جوره وی نو نعلت,"Nonsense ,  fuck Your mothers, Anairfield in 15 years ?
  God destroy  on such govern,
  In 15 years of education, people build a country, You're airport, curse ",Negative,Negative
42,,,"یاره لوګر ټول ټرلبان دي، لوګریانو قسم اول دي دغه ځناور له خپل ولایته اوباسې بیا یې ورته جوړ کړﺉ، که جوړ یې هم کړﺉ دغه ځناور یې بیا ورانوي. استثنا پکې شته.","Dear Logar, all of them are Taban. The Logaris are the first to remove this animal from their province and rebuild it. There are exceptions.",Positive,Positive
43,,,طالب می لاغولی دی زه هم دلوګر دازری یم مونږه ازره کو قربانی ورکړی قومانډو ملی اردو مخلی پولیس امنت ملی همداسی نوری موخیمی قعتی کی شرکت کړی مونږه هم خق لرو دهوای میدان نړی مننه,"fuck Talib
I am also from Logar. We have sacrificed Azra. Commando National Army Front Police. Amanat Milli. We have also participated in other incidents. We also have the right.",Negative,Negative
44,,,دغه ميدان هوايى چى دادى داوت خان وخت کى نکشه شوى وه دوبى ميدان په ځاى دغه دى اسيا مرکزى ميدان جوړى دو  اوس که جوړشى افغانستان ته يى زياته ګهاټه عوايد رسيږى,"The airport, which was mapped out at the time of Dawat Khan, has been replaced by the  International Airport.Now, if it is built, it will bring more revenue to Afghanistan",Positive,Positive
45,,,هیڅ ضرورت یی نشته ځکه لوګر او کابل نیم ساعت د موتر لار ده په همدې پیسو دی چرته د اوبو بند جوړ کړي چې د کروندې تر ورخ دهقان ته اوبه ور ورسیږي,"There is no need because Logar and Kabul are half an hour's drive away
  The money is used to build a dam to supply water to the farmer till the end of the field.",Negative,Negative
46,,,ښه نو دومره زیات وخت کی خوبه دونیا اسمان ته ختلی وی  اوموژبه یودانه هوایی ډگرجوړ کړیوی ولی زرنه کیگی 2035کاله هوووووو ماشاډالله سونه زرجوړی گی,"Well, the dream world has skyrocketed in so much time
   And we will make an airport, but it is good
  The year is 2035 Mashaallah, will can't make it past",Negative,Negative
47,,,له بدو ملګرو سره کېناستو پر ځای یوازې  کېناستل غوره دي او تر یوازې کېناستو دصالحو ملګرو سره ناسته پاسته غوره ده ❤,"Instead of sitting down with bad friends, loneless is better
  And just sit down
It's better to sit down with good friends. """,Positive,Positive
48,,,په کور کی به پیشوګانو ته ډوډی نه ورکوی په فیسبوک به ولسمشر ته مشوری ورکوی,"Cats will not be fed at home
  Will advise the president on Facebook",Positive,Positive
49,,,"په ډګرونو یي درټیل وهم څه پري وکو ماته د یو افغان وینه ،ژوند او بیا وروسته پرمختګ مهم دی","I beat them on the fields
What did we do with it، To me, the blood of an Afghan, life and then progress is important",Negative,Negative
50,,,ښه ده خو څه مانه؟  لوګر خو کابل ته نږدې دی   پکار ده چې کابل هوايي ډګر لوی شوی او سمارټ شوی وای.,"OK but what does that mean?
  Logar, however, is close to Kabul
    Kabul Airport needs to be bigger and smarter.",Negative,Negative
51,,,دا خو می اوس واوریدل چی یو هوایی میدان په ۱۵ کالونو کی جوړیږی سه د عجایبو هیواد مو دی,But now I have heard that an airport will be built in 15 years. It is a rediculas  country.,Negative,Negative
52,,,"زه فکر کوم چی دا به 2035 کال نوی بلکی 2025 کال به وی آما زه د ګران وطن افغانستان په هر کنج کښي د هر نوع ..... آبادی ترقی او پر مخ تګ طرفداره یم .....ځکه چی هره یوه نقطه ئ  زما ګران وطن افغانستان دی،🌹🙏🇦🇫 مننه( ميوند ).","I think it will not be 2035 but 2025. But I am in favor of any kind of population development and progress in every corner of our homeland Afghanistan, because every point. My dear homeland is Afghanistan, thank you (Maiwand).",Positive,Positive
53,,,"ډېر عالي، واقعاً لوګر ډېر ښه موقعيت دئ دي بين للمي ډګر دپاره، او دي لوګر خلکو لپاره ښه اقتصادي فرصت.","Great, indeed Logar is a great location for the rainforest, and a great economic opportunity for the people of Logar.",Positive,Positive
54,,,دا یو ‌‌‌‌‌‌ډیر ښه او نیک کار ړی   دهیواد هرولا یت بیا رغوني او ابادي ته اړتیا لري,This is a very good deed. Every country in the country needs reconstruction and development.,Positive,Positive
55,,,"دا پېسې باید د کابل په هوایي ډګر مصرف شي، د لوګر ؤلس که هوایي ډګر غواړي، لومړی باید د هغو ؤرانکارو خېلاف بغاؤت ؤکړي، چې په ټول افغانستان یې ؤحشت خپور کړی","The money should be spent at the Kabul airport. If the people of Logar want an airport, they must first revolt against the terrorists who have spread terror all over Afghanistan.",Negative,Positive
56,,,لوګر کي چي هوايي ډګر جوړ سه نو پوه سه چي پخواني افغانستان بیا شروع سه,"When the airport is built in Logar, know that the old Afghanistan has started again",Positive,Positive
57,,,ډېره تلوار مو کړې 2050 کال ښۀ وو,"doing very hurry , 2050 was a good year",Negative,Negative
58,,,بټي کوټ ولسوالۍ کې هم موږ هوايي ډګر جوړول غواړو,We also want to build an airport in Batikot district,Positive,Positive
59,,,د داګټر صاحب نجیب الله نړیوال هوايې ډګر د اشرار په نوم یې نه غواړو ټول دې خبر وي,Dr. Najibullah International Airport in the name of miscreants do not want everyone to know,Negative,Negative
60,,,2035. کال لرې ندی ... پدې وخت کې به یو هیواد جوړ شي,2035. The year is not far away ... at this time a country will be formed,Negative,Negative
61,,,لو ګریانو بیا مو مبارک شه  ده دی ورځی شاید به یو انشاالله جوړیګی به  او جوړ اوبی,"Congratulations again, dear ones, this day will probably be a God willing one",Positive,Positive
62,,,موږ هم پکي ګنګ ګڅ يو په هر اتیا یا سلو کیلومیترو کې نړیوال هوایي ډګرونه جوړو نور په هفته کي دوه یا دری نړوال پروازونه لری زما په اند ښه به ده وه چې موجوده هوایې ډاګرونه اول تقویا شویدی وای چې دا مو د خساری او نقصان نه وباسلي وو بیا به مو نور جوړول,We also build international airports every eighty or one hundred kilometers. There are two or three international flights a week. I think it would have been better if the existing airfields had been fortified first so that we would not have suffered losses and then we would have built more.,Negative,Negative
63,,,پہ 2050کال کی بہ پہ سکول کی یو سوال دا وی چی ھغہ کوم ھیواد دہ چی ٹول وگڑی ئ پہ ھوائ ڈگرونونو کی اوسیگی لائق شاگردان بہ ورتہ لیکی چی افغانستان دہ چی دی زمکی مساحت ئ غرونو او ھوائ ڈگرونو نیولئ دہ ھھھھھھھھ,"In the year 2050, in the school, asked a question from students about which country has the highest number of people, living in airports, and the genius students will write , Afghanistan is covered with mountains and airfields.",Negative,Negative
64,,,ښه خبر دی  خو دلته یې ویلي ۱۵ کالو کې به بشپړ شي داسې فرض کړئ چې شاید ۲۰۵۰ پورې تکمیل شي یا هم نه. ځکه دلته چې د هرې پروژې د بشپړیدو نیټه دوه کاله ښول شوې په پنځو کې هم نده بشپړ شوې,"Good news, but here it is said that it will be completed in 15 years. Assume that it will be completed in 2050 or not. Because the completion date of each project is shown as two years, it would have not completed in five years",Negative,Negative
65,,,انتخاب یی ښه دی خو موده یی زیاته ښودلي ده ښه مناسب ځای دی لوګر,The choice is good but the time has shown more. Logar is a good place,Positive,Positive
66,,,تاسو ى جوړکړى مونږ به مبارکى  درکړو  مشرقى وال به چين ته چل متره سرک جوړکړى نوربه بل ده ابادى يوتاريخى کاروکړى   افغانستان دټولى نړى زړه دى هواى صافه ده    خلک به ى سيال ته رازى وطن په ابادولو کى کوشش کوى ده وطن دجړيدوارمان دله دبل وطن کى درزى,"You butld it. We will congratulate you. Orientals will build a 40-meter road to China. Another settlement is a historic one. Afghanistan is the heart of the whole world having clear atmosphere ,  tuorist will come here.",Positive,Positive
67,,,کوم کار چی د کولو وی باید وشی پدی پیسو د کنړ سیند باندی د اوبو بند جوړ کړی چی ټول ولس ورته دعا وکړی چی د ټول ملت ارمان دی,All that needs to be done is to build a dam on the Kunar River with this money so that the entire nation can pray that the aspiration of the entire nation,Positive,Positive
68,,,دوی بنیادی کارنه کوی په وارداتی بریښناکی خوددوی ګټی دی بندونه خو بنیادی کاردی هیڅکله دوی نه غواړی چه بندونه جوړکړی,"They don’t do basic work
  Imported electricity has its own benefits، Dams are basic but they never want to build dams",Negative,Negative
69,,,ماشاالله. خدای دې وکړي. که د افغانستان خلک هوښيار وي داسې ملي پروژو تطبيق کي دي همکارۍ وکړي . د افغانستان خلک او دولت باید د مسو عینکو او نورو معادنو د ويستلو لپاره هم کار وکړي ,"Mashaallah. God willing. If the people of Afghanistan are smart, they should cooperate in the implementation of such national projects.The people and government of Afghanistan must also work to extract copper glasses and other minerals",Positive,Positive
70,,,ختیځ زون لوی اقتصادی ارزښت لری خو نړیوال هوای میدان نلری ولی دا عدالت دی.,The eastern zone has great economic value but does not have an international airport but that is fair.,Negative,Positive
71,,,دا د ډالرو او داسى نورو توکو لپاره د قاچاقو لارې پرځاى د نورو پروژو باندي کار وشې ښه به وي.,It would be better to work on other projects instead of smuggling for dollars and other such things.,Negative,Negative
72,,,ډشیر ښه او ښه خبر دافغانستان دپرمخ تګ په لور.,"Good news, and good news, for Afghanistan to move forward.",Positive,Positive
73,,,داسو ورځی بیخـــي دی خوښۍ خبرونه اورم داسې خبـــرونه دی زیات شې وطــن مودې ابادشي,"It's been a long time since I've heard the good news.These days, there are so many happy news and such news is so much more.",Positive,Positive
74,,,دغسی یو کار وشی هیواد اقتصاد خوراول لری,The country's economy has a huge role to play,Positive,Positive
75,,,هوایي میدانونه ډیر زیات دي کومه ګټه نشي ورڅخه راتلی له همدغې  پرځای باید همده پیسې باندې له تعلیم کچه لوړه کړو چې راتلوونکی مو روښانه شي,"There are so many airports that there is no profit to be made from them. Instead, we have to raise the level of education on the same money so that our future is bright.",Positive,Positive
76,,,په زړه پورى خبر ده.. افــــسوس حدايه که چيرته امن راشى نو لخيره همداعه هوايي ډاګر د 15کالو څخه د جوړوني چارى به 3 کالو ته راشى.. ❤🇦🇫❤,"This is very interesting news .. Alas, if there is peace, then the construction of this airport will take 3 years from 15 years ..",Positive,Positive
77,,,"نوخبر په پکتیا کی  هوایی ډاګر لیلام شو  ، هههههه دپکتیامشران  هم خپل ولایت ته شپه ورځ په حزمت کی مصروف دی،   د مچل بند هم جوړشو،   دلجی بندهم جوړشو، دومره زیات برق","The news is that the airport in Paktia has been auctioned. Hahaha, the leaders of Paktia are also busy visiting their province day and night.
The Mitchell Dam was built, the Dalji Dam was built, so much electricity",Negative,Negative
78,,,۱۵ کالا کی خو باید ټول افغانستان جوړ شی خو بهانه خو پیسو اوباسلوو ته لار جوړه وی,"In 15 years, the whole of Afghanistan must be built, but the excuse is to make money",Negative,Negative
79,,,ترهګر پاکستان او غلامان يى چى موقت حکومت چغى وهى اوس به څمره وسوځيږى,Terrorist Pakistan and its slaves who are shouting for an interim government will now be burnt,Negative,Negative
80,,,ددي ميدان كارمخي ايتاليا بشپر کری وو دخپل  نظامی ادی لپاره اوس دوی یو نمایشی علان کوی ددی ملت پسترگو خاوری پوری کوی همدا  اوس ددی میدان مکمل سامان دغلو په لاس کی دی دشپی له خوا تول سامان دی قاچا په دول تر باسی,"Italy, which had completed the field, is now announcing a demonstration for its military presence in the country.
Right now, all the equipment in the field is in the hands of thieves. All the equipment is smuggled out by night",Negative,Negative
81,,,"بالكل دکابل هوايي ډګر غټول اومعيا رې کول پکار دي ،اود ننګرهار هم ترڅو عام پروازونه تری شروع شي","Of course, Kabul airport needs to be upgraded, and Nangarhar needs to be rescheduled for public flights.",Positive,Positive
82,,,ستر ګام دی لوګر بهترينه سيمه ده هوايې ډګر لپاره او ميس عينک کان هم هلته شتون لري په دې هېله چې جوړ شي,Greater Logar is the best place for an airport and the Miss Aynak mine is also there to be built.,Positive,Positive
83,,,له که چی په لسو کارګرانو یی جوړوی چی ۱۵ کاله وخت نیسی ,"Although it is made up of ten workers, it takes 15 years",Negative,Negative
84,,,داسې معلومېږي چې لوگر ته به هم نور خلک طياره کښې ځي ...,It seems that other people will also go to Logar by plane ...,Positive,Positive
85,,,ددی هوایی ډګر جوړیدل هم داسی بریښی لکه مریخ ته تګ,The construction of this airport also looks like going to Mars,Negative,Negative
86,,,اوس وخت کی مونږ  هوایی داگر ته دومره ضرورت نه لرو لکه سومره چی مونږ تعلیم سوله برق گاز اوبه دا باید مونږ اول قدم کی ونیسو ,"At the moment we don't need airfields as much as we do education, peace, electricity, gas and water.",Positive,Positive
87,,,دکابل چخه ترلوگره ۱ساعت لاره دموترده.دکابل چخه تر هراته ۲۰ ساعته لار دموتر ده.تاسی دکابل اوهرات لاره وگوری.دلوگر میدان ضروری دی که دکابل هرات سرک..دماشومانو لوبی ای شروع کری,The journey from Kabul to Herat is 3 hours by car. The journey from Kabul to Herat is 3 hours by car. You can see the road from Kabul to Herat.Logar Maidan is necessary if Kabul-Herat road..kids play starts,Negative,Positive
88,,,خہ خبرہ دہ صبر بہ ورتہ اوکو ائندہ خلکو تہ خو بہ  گٹہ شی انشاءاللہ او افغانستان تہ بہ تل پاتی گٹہ وی اللہ دی پخیر جوڑ کڑی,"Good news, we will wait for this, it will be beneficial for future Insha Allah, and this is beneficial forever for Afhganistan. May Allah make it good",Positive,Positive
89,,,دخوشحالۍ خبر ده الله ج دي وکړي چه پخیر جوړ شي دجوړيدو نيټه یی زیاته ده,"The good news is that God willing, the date of construction is long",Positive,Positive
90,,,دا دوه میلیارده ډالره د وطن په بل اړخ مصرف کړی. که وایی چې دا دی زرکلن ټاټوبی ده نو بیا صحیح ده....,"It's a two-mile drive, spending dollars on the other side of the country. If it is said to be a millennial homeland then it is true ....",Negative,Negative
91,,,داخو چی تر څو جوړیگی موږ به زاړه شو 14کاله خو ډیر عمر ده ولا  خو بیا هم مننه چی زموږ لوگر دونه ترقی وکړی ده لابریا په هیله,"if this would buit , we will get older, 14 year is very long duration, but it is still good new to hear that Lagar is developing , should be mad, good news",Positive,Positive
92,,,غنی هم سمه ولایت پالنه رااخیستې زما په فکر که ددې پرځای کنړ بند جوړ وای ښه به وو.,Ghani also brought proper provincialism. I think it would have been better if Kunar Dam had been built instead.,Positive,Positive
93,,,واله چی ټول جهان جوړ شى خو پکتىىا ته سوګ واله که خىزمت واکى پکتيا وال  تبه دى,"the whole will be built but here is no one to serve for Paktia, the people of Paktia is destroyed ",Negative,Negative
94,,,داهسي گف ده ولی سرکونه  نه رغوی کابل هرات کابل خوست کابل مزار چی گٹه يي ٹولو افغانانو ته ورسیگی,"This is ridiculous talk, but why not repair the roads?Kabul Herat Kabul Khost Kabul Shrine that will benefit all Afghans",Negative,Negative
